日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-02,半导体材料,0,1,0.0,-0.45,54879022419.13,548.79,0,0,0,1,0,0,0,0,0
2023-03-02,半导体设备,1,0,100.0,2.85,67355521664.0,673.56,0,0,0,0,0,1,0,0,0
2023-03-02,印制电路板,1,0,100.0,0.87,67545634245.600006,675.46,0,0,0,0,0,1,0,0,0
2023-03-02,原料药,0,1,0.0,-0.63,58881785131.8,588.82,0,0,0,1,0,0,0,0,0
2023-03-02,品牌消费电子,1,0,100.0,2.2,67371039330.0,673.71,0,0,0,0,0,1,0,0,0
2023-03-02,啤酒,2,0,100.0,0.5549999999999999,146566642538.38,1465.67,0,0,0,0,0,2,0,0,0
2023-03-02,国有大型银行,1,0,100.0,0.53,54396038626.02,543.96,0,0,0,0,0,1,0,0,0
2023-03-02,国防军工,2,3,40.0,1.816,368993726143.54004,3689.94,0,0,0,3,0,1,0,1,0
2023-03-02,城商行,3,1,75.0,0.15,303909217053.69,3039.09,0,0,0,1,0,3,0,0,0
2023-03-02,基础建设,3,0,100.0,1.38,241785130110.78003,2417.85,0,0,0,0,0,2,1,0,0
2023-03-02,多元金融,1,0,100.0,1.85,76610999218.73999,766.11,0,0,0,0,0,1,0,0,0
2023-03-02,家具,1,0,100.0,0.95,87102637902.46,871.03,0,0,0,0,0,1,0,0,0
2023-03-02,家用轻工,1,0,100.0,0.95,87102637902.46,871.03,0,0,0,0,0,1,0,0,0
2023-03-02,小家电,0,1,0.0,-1.06,52426769634.54,524.27,0,0,0,1,0,0,0,0,0
2023-03-02,小家电Ⅲ,0,1,0.0,-1.06,52426769634.54,524.27,0,0,0,1,0,0,0,0,0
2023-03-02,小金属,0,1,0.0,-1.69,93126924407.32,931.27,0,0,0,1,0,0,0,0,0
2023-03-02,工程机械,2,0,100.0,2.315,180487048410.06,1804.87,0,0,0,0,0,1,1,0,0
2023-03-02,广告营销,1,0,100.0,0.45,97773692145.01999,977.74,0,0,0,0,0,1,0,0,0
2023-03-02,建筑材料,2,2,50.0,0.865,295178692903.24,2951.79,0,0,0,2,0,2,0,0,0
2023-03-02,建筑装饰,5,0,100.0,2.554,359365898932.02,3593.66,0,0,0,0,0,3,1,1,0
2023-03-02,数字媒体,1,0,100.0,3.07,67102755634.049995,671.03,0,0,0,0,0,0,1,0,0
2023-03-02,普钢,0,1,0.0,-1.45,92993466601.92,929.93,0,0,0,1,0,0,0,0,0
2023-03-02,机场航运,1,0,100.0,0.51,57581352257.79,575.81,0,0,0,0,0,1,0,0,0
2023-03-02,氟化工,0,1,0.0,-1.1,51160188234.95,511.60,0,0,0,1,0,0,0,0,0
2023-03-02,氮肥,1,0,100.0,0.87,78775171962.90001,787.75,0,0,0,0,0,1,0,0,0
2023-03-02,水泥,0,1,0.0,-0.3,86547593911.86,865.48,0,0,0,1,0,0,0,0,0
2023-03-02,水电,2,0,100.0,0.865,140019245553.15,1400.19,0,0,0,0,0,2,0,0,0
2023-03-02,汽车整车,1,2,33.33333333333333,-0.57,204542498435.11,2045.42,0,0,0,2,0,1,0,0,0
2023-03-02,汽车零部件,0,3,0.0,-2.3666666666666667,202472410978.6,2024.72,0,1,0,2,0,0,0,0,0
2023-03-02,油气开采,0,1,0.0,-1.03,69728319576.18,697.28,0,0,0,1,0,0,0,0,0
2023-03-02,油气开采及服务,0,1,0.0,-1.03,69728319576.18,697.28,0,0,0,1,0,0,0,0,0
2023-03-02,消费电子,1,2,33.33333333333333,-0.006666666666666599,204498645774.36,2044.99,0,0,0,2,0,1,0,0,0
2023-03-02,消费电子零部件及组装,0,2,0.0,-1.1099999999999999,137127606444.36,1371.28,0,0,0,2,0,0,0,0,0
