日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-04-03,5.65,0.89,-5113171.0,-8.08,-926740.0,-1.46,-4186431.0,-6.61,-1289860.0,-2.04,6403031.0,10.11,000702
2023-04-03,24.42,5.44,-36394659.0,-10.1,-9075216.0,-2.52,-27319443.0,-7.58,30068008.0,8.35,6326650.0,1.76,000048
2023-04-03,9.7,8.87,126452358.0,10.49,76477798.0,6.34,49974560.0,4.14,-92152720.0,-7.64,-34299632.0,-2.84,002100
2023-04-03,8.7,6.62,41601148.0,4.55,15231664.0,1.67,26369484.0,2.88,1574144.0,0.17,-43175295.0,-4.72,002567
2023-04-03,25.71,1.3,1600953.0,8.21,639750.0,3.28,961203.0,4.93,-3640457.0,-18.67,2039504.0,10.46,003030
2023-04-03,12.78,1.75,25605368.0,6.29,7169704.0,1.76,18435664.0,4.53,-6094250.0,-1.5,-19511118.0,-4.79,603363
2023-04-03,33.28,-0.63,-5919044.0,-10.3,-1246339.0,-2.17,-4672705.0,-8.13,2344533.0,4.08,3574512.0,6.22,603938
2023-04-03,36.57,9.0,-7946852.0,-0.8,38042792.0,3.82,-45989644.0,-4.62,-19567424.0,-1.96,27514266.0,2.76,000818
2023-04-03,30.31,0.7,431699.0,3.55,0.0,0.0,431699.0,3.55,697253.0,5.74,-1128952.0,-9.29,003017
2023-04-03,10.1,1.1,-832915.0,-2.51,1012421.0,3.05,-1845336.0,-5.56,905714.0,2.73,-72800.0,-0.22,600618
2023-04-03,16.67,-0.18,-1692353.0,-8.89,0.0,0.0,-1692353.0,-8.89,-269829.0,-1.42,1962182.0,10.3,300927
2023-04-03,12.53,1.7,409027.0,2.67,576053.0,3.76,-167026.0,-1.09,600060.0,3.92,-1009087.0,-6.59,001217
2023-04-03,8.65,1.05,-5817409.0,-27.15,-1048512.0,-4.89,-4768897.0,-22.26,-2538911.0,-11.85,8356323.0,39.0,301256
2023-04-03,6.61,0.3,-7277673.0,-10.0,-4529898.0,-6.22,-2747775.0,-3.77,-538303.0,-0.74,7815975.0,10.74,600409
2023-04-03,9.18,1.66,-20751704.0,-18.59,397018.0,0.36,-21148722.0,-18.95,3565053.0,3.19,17186651.0,15.4,000990
2023-04-03,8.47,-1.17,-13341935.0,-19.71,-5838874.0,-8.63,-7503061.0,-11.09,10281537.0,15.19,3060398.0,4.52,603227
2023-04-03,15.37,2.33,3493795.0,4.81,5572260.0,7.66,-2078465.0,-2.86,-4446681.0,-6.12,952887.0,1.31,600367
2023-04-03,33.34,0.09,-8318136.0,-8.98,-993836.0,-1.07,-7324300.0,-7.91,-1299043.0,-1.4,9617181.0,10.39,301118
2023-04-03,11.16,0.45,-6642246.0,-16.37,-1091877.0,-2.69,-5550369.0,-13.68,1726415.0,4.25,4915831.0,12.11,300891
2023-04-03,9.82,-2.29,-11360496.0,-6.28,-3932972.0,-2.18,-7427524.0,-4.11,6499414.0,3.6,4861082.0,2.69,300082
2023-04-03,13.08,0.23,-10289082.0,-10.03,-11872889.0,-11.57,1583807.0,1.54,-3757146.0,-3.66,14046227.0,13.69,603067
2023-04-03,6.67,2.77,13713084.0,7.69,15460123.0,8.67,-1747039.0,-0.98,-4881359.0,-2.74,-8831725.0,-4.95,002145
2023-04-03,28.75,-0.86,-290926.0,-0.46,1467305.0,2.3,-1758231.0,-2.75,919413.0,1.44,-628487.0,-0.98,301069
