总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
25276875480.36,25120136451.06,钢铁行业,19981021,000825,太钢不锈,5731717796.0,5696176066.0
16583216808.7,16583216808.7,钢铁行业,20040629,600022,山东钢铁,10698849554.0,10698849554.0
3135354756.0,3135354756.0,钢铁行业,19971015,600117,西宁特钢,1045118252.0,1045118252.0
22699692183.12,17425833463.12,钢铁行业,19940106,600808,马钢股份,7773867186.0,5967751186.0
3605427534.55,3605427534.55,钢铁行业,20010118,600382,ST广珠,788933815.0,788933815.0
27826899379.2,23506108048.239998,钢铁行业,19971225,000898,鞍钢股份,9400979520.0,7941252719.0
30497489763.0,23451889952.399998,钢铁行业,19991216,000959,首钢股份,7819869170.0,6013305116.0
16678445683.679998,16286168475.72,钢铁行业,19970606,000778,新兴铸管,3990058776.0,3896212554.0
26289586503.04,26289586503.04,非金属材料,20020830,600516,方大炭素,4025970368.0,4025970368.0
5207893633.799999,3777164667.8999996,钢铁行业,20100921,002478,常宝股份,890238228.0,645669174.0
9268441442.4,9268426637.4,钢铁行业,20061025,002075,沙钢股份,2206771772.0,2206768247.0
87523262684.16,60820246247.04,钢铁行业,20010309,600010,包钢股份,45585032648.0,31677211587.0
141142349483.56,138807446358.56,钢铁行业,20001212,600019,宝钢股份,22262200234.0,21893918984.0
8929332186.48,8589485322.72,钢铁行业,19990714,000923,河钢资源,652728961.0,627886354.0
6634678474.9,6545473904.9,钢铁行业,20020816,600581,八一钢铁,1553788870.0,1532897870.0
9549554035.75,4621108699.25,钢铁行业,20191224,603995,甬金股份,338037311.0,163579069.0
6279374400.0,6279374400.0,钢铁行业,20200211,688186,广大特材,214240000.0,214240000.0
2205077098.7999997,2204817255.2999997,环保行业,20120705,300334,津膜科技,302065356.0,302029761.0
2725140223.54,1673355580.4,塑料制品,20160826,300538,同益股份,181918573.0,111705980.0
23123558531.97,23043825221.489998,橡胶制品,20180627,603650,彤程新材,596121643.0,594066131.0
6888175111.2300005,6888175111.2300005,化纤行业,20100608,002427,*ST尤夫,985432777.0,985432777.0
5611278076.24,2978451549.6,塑料制品,20210709,688087,英科再生,134627593.0,71459970.0
3969333353.18,1056533102.43,化学制品,20211102,301092,争光股份,133333334.0,35489859.0
4409555030.94,3937050075.0,环保行业,19990616,000920,沃顿科技,472621118.0,421977500.0
3515400000.0,2378493927.36,塑料制品,20201016,688386,泛亚微透,70000000.0,47361488.0
2616070600.0,2570622756.0,橡胶制品,20100706,002442,龙星化工,490820000.0,482293200.0
